,Content ID,Type,Datetime,Category,score
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,,4/22/2021 15:17,Studying,
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,11/7/2020 9:43,healthy eating,0
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,6/17/2021 12:22,healthy eating,
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,4/18/2021 5:13,technology,
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,1/6/2021 19:13,food,0
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,8/23/2020 12:25,cooking,
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,12/7/2020 6:27,dogs,
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,4/11/2021 17:35,technology,70
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,1/27/2021 8:32,soccer,
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,4/1/2021 22:54,public speaking,
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,8/4/2020 5:05,science,
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,11/7/2020 8:36,public speaking,
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,11/2/2020 6:28,tennis,
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,11/1/2020 1:16,food,
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,10/7/2020 18:39,travel,
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,9/3/2020 18:51,fitness,
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2/24/2021 5:09,soccer,
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,9/23/2020 6:24,public speaking,
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2/24/2021 11:37,food,
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,5/22/2021 19:44,tennis,
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,1/31/2021 16:03,soccer,
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,11/20/2020 17:26,soccer,
